date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,3rd_dose
01.24.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
01.29.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
01.29.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
01.30.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
01.31.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,public servant,0
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.06.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.06.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.07.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.07.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.10.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.11.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.12.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.13.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.13.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.14.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.15.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.15.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.16.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.16.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.17.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.17.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.18.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.18.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.19.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.19.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.20.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.22.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.22.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
02.23.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.24.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.25.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.26.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.27.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
02.27.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0
03.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0
